"OTU" "Feature_name" "134_300Apole_091_102_S1_L001" "134_304Crase_079_114_S2_L001" "134_305Crase_067_126_S3_L001" "134_309Forsk_055_138_S4_L001" "134_310Gymno_043_150_S5_L001" "134_311Lychn_031_162_S6_L001" "134_313Marru_019_174_S7_L001" "134_314Praya_007_186_S8_L001" "134_315Resom_090_103_S9_L001" "134_316Resom_078_115_S10_L001" "134_317Vogti_066_127_S11_L001" "134_319Frill_054_139_S12_L001" "134_320Forsk_042_151_S13_L001"
"Eukaryota_environmental samples_uncultured eukaryote__100_119_91.31___" "008be679b40e9e74c1524d34bd7ec2a3" "0" "70886" "62441" "0" "53007" "1113" "40828" "41557" "96073" "154" "56060" "61780" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_119_91.31___" "4bffacae4670dec74a5e417bc3b3baf2" "0" "71916" "62689" "38305" "46797" "1114" "0" "43028" "86486" "128" "21" "56706" "7842"
"Eukaryota_environmental samples_uncultured eukaryote__100_119_91.31___" "f65e551c10bdb30baeb7a543f701c894" "0" "0" "0" "0" "0" "0" "37113" "0" "0" "0" "46595" "2071" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_119_91.31___" "c4e08dbab3bde0cd5dbca685d486895b" "63879" "0" "0" "0" "0" "0" "0" "0" "0" "54" "0" "0" "845"
"Eukaryota_environmental samples_uncultured eukaryote__100_119_91.31___" "71d57abdbbd49422dd18c74d873cd521" "59866" "0" "0" "0" "0" "0" "0" "0" "0" "40" "31" "0" "813"
"Eukaryota_environmental samples_uncultured eukaryote__98.32_119_90.46___" "1b32d80f3d50dc5dba67856d5931e152" "0" "0" "0" "0" "0" "0" "0" "0" "0" "52265" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__98.32_119_90.46___" "e3ab92c593839d86aaad2ca73f11c996" "0" "0" "0" "0" "0" "0" "0" "0" "0" "49636" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae" "b22b7f57607f3f196a0cdbbbffaa32ec" "0" "0" "0" "0" "0" "49619" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata" "2d4cae9fa656119d838d5054be6eb456" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "49594"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata" "07644e9fa75260d02714b89b415c7590" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "48197"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae" "55c57c44b04e7b122e617544e97fca38" "0" "0" "0" "0" "0" "47041" "0" "0" "0" "0" "0" "0" "0"
