"OTU" "Feature_name" "272_227Halis_379_198_S1_L001" "272_228Nanom_367_210_S2_L001" "272_233bChun_355_222_S3_L001" "272_234bEren_343_234_S4_L001" "272_235bApol_331_246_S5_L001" "272_236Apole_319_258_S6_L001" "272_241Lensi_307_270_S7_L001" "272_242Forsk_295_282_S8_L001" "272_243Apole_378_199_S9_L001" "272_244Steph_366_211_S10_L001" "272_245Diphy_354_223_S11_L001" "272_246Diphy_342_235_S12_L001" "272_247Diphy_330_247_S13_L001" "272_248Diphy_318_259_S14_L001" "272_249Diphy_306_271_S15_L001" "272_250Vogti_294_283_S16_L001" "272_251Diphy_377_200_S17_L001" "272_252Agalm_365_212_S18_L001" "272_253Agalm_353_224_S19_L001" "272_254Chuni_341_236_S20_L001" "272_255Apole_329_248_S21_L001" "272_256Apole_317_260_S22_L001" "272_257Apole_305_272_S23_L001" "272_258Praya_293_284_S24_L001" "272_259Steph_376_201_S25_L001" "272_260Apole_364_213_S26_L001" "272_261Sphae_352_225_S27_L001" "272_262Forsk_340_237_S28_L001" "272_263Apole_328_249_S29_L001"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.2_251_91.27___" "ae50393ad36e2362973c6170b163ed06" "24836" "18063" "28465" "611" "15488" "29301" "22032" "26766" "29730" "19112" "24585" "21143" "23891" "24611" "26185" "31246" "23426" "32202" "24522" "31650" "17822" "30874" "35418" "20496" "33342" "24187" "20176" "19351" "16564"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.2_251_91.27___" "f6c66ddcb96a2bedaca91c9a4b1677aa" "20472" "12220" "22888" "18917" "12547" "24681" "16641" "22362" "25957" "12129" "19847" "20546" "21140" "20841" "22759" "26794" "24922" "27690" "19136" "26280" "14537" "25698" "26355" "16742" "28790" "19435" "17887" "15234" "14882"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Eucalanidae__98.02_253_73.26" "8d80c1d4c0158676b369922c6ce45a4b" "0" "0" "0" "0" "0" "0" "311" "0" "0" "0" "85" "0" "0" "0" "0" "0" "0" "0" "0" "259" "0" "0" "0" "0" "0" "1181" "0" "2018" "0"
"Eukaryota_Alveolata__87.3_189_85.66_______" "61f2df1c0bc536556e8d75b70e9a250a" "0" "0" "0" "0" "2908" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "32" "21" "384" "0"
"Eukaryota_Viridiplantae_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta_eudicotyledons_Gunneridae_Pentapetalae_rosids__97.65" "5ac25e92dc3cfea6a4a96b3f72f99d32" "0" "0" "0" "0" "3324" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata__95.54_112_70.65_______" "e7779e3c38a186c4a3ea58600160fe1f" "0" "0" "0" "0" "2184" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "32" "18" "264" "0"
"Eukaryota_Viridiplantae_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta_eudicotyledons_Gunneridae_Pentapetalae_rosids__97.65" "cad17be1a7803e831b9659abe3b11085" "0" "0" "0" "0" "2403" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "33" "0" "0" "0"
"Eukaryota_Viridiplantae_Chlorophyta_Chlorodendrophyceae_Chlorodendrales_Chlorodendraceae_Tetraselmis__99.6_252_92.31__" "ced32704eb19787ccdf99bd12251f5d9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "38" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "176" "0"
"Eukaryota_Alveolata_Dinophyceae__94.84_252_89.52______" "9a91fde5ef1ebf41214386acb6f11444" "0" "0" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "133" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__99.10_140_90.84____" "38e4ef38315d826dd38299b5d77611c2" "0" "31" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "69" "0" "0" "0" "0" "0" "0" "0" "0"
