"OTU" "Feature_name" "272_227Halis_379_198_S1_L001" "272_228Nanom_367_210_S2_L001" "272_233bChun_355_222_S3_L001" "272_234bEren_343_234_S4_L001" "272_235bApol_331_246_S5_L001" "272_236Apole_319_258_S6_L001" "272_241Lensi_307_270_S7_L001" "272_242Forsk_295_282_S8_L001" "272_243Apole_378_199_S9_L001" "272_244Steph_366_211_S10_L001" "272_245Diphy_354_223_S11_L001" "272_246Diphy_342_235_S12_L001" "272_247Diphy_330_247_S13_L001" "272_248Diphy_318_259_S14_L001" "272_249Diphy_306_271_S15_L001" "272_250Vogti_294_283_S16_L001" "272_251Diphy_377_200_S17_L001" "272_252Agalm_365_212_S18_L001" "272_253Agalm_353_224_S19_L001" "272_254Chuni_341_236_S20_L001" "272_255Apole_329_248_S21_L001" "272_256Apole_317_260_S22_L001" "272_257Apole_305_272_S23_L001" "272_258Praya_293_284_S24_L001" "272_259Steph_376_201_S25_L001" "272_260Apole_364_213_S26_L001" "272_261Sphae_352_225_S27_L001" "272_262Forsk_340_237_S28_L001" "272_263Apole_328_249_S29_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.2_251.00_ 92.21_NA" "ae50393ad36e2362973c6170b163ed06" "24836" "18063" "28465" "611" "15488" "29301" "22032" "26766" "29730" "19112" "24585" "21143" "23891" "24611" "26185" "31246" "23426" "32202" "24522" "31650" "17822" "30874" "35418" "20496" "33342" "24187" "20176" "19351" "16564"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.2_251.00_ 92.21_NA" "f6c66ddcb96a2bedaca91c9a4b1677aa" "20472" "12220" "22888" "18917" "12547" "24681" "16641" "22362" "25957" "12129" "19847" "20546" "21140" "20841" "22759" "26794" "24922" "27690" "19136" "26280" "14537" "25698" "26355" "16742" "28790" "19435" "17887" "15234" "14882"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 98.02_253.00_ 91.58" "8d80c1d4c0158676b369922c6ce45a4b" "0" "0" "0" "0" "0" "0" "311" "0" "0" "0" "85" "0" "0" "0" "0" "0" "0" "0" "0" "259" "0" "0" "0" "0" "0" "1181" "0" "2018" "0"
"Eukaryota__88.95_190_84.45___NA_NA_NA" "61f2df1c0bc536556e8d75b70e9a250a" "0" "0" "0" "0" "2908" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "32" "21" "384" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.21_253.00" "5ac25e92dc3cfea6a4a96b3f72f99d32" "0" "0" "0" "0" "3324" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__88.71_186_86.27___NA_NA_NA" "e7779e3c38a186c4a3ea58600160fe1f" "0" "0" "0" "0" "2184" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "32" "18" "264" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.21_253.00" "cad17be1a7803e831b9659abe3b11085" "0" "0" "0" "0" "2403" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "33" "0" "0" "0"
"Eukaryota_Chlorophyta_Chlorodendrophyceae_Chlorodendrales_Tetraselmis__99.6_252.00_ 92.44_NA" "ced32704eb19787ccdf99bd12251f5d9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "38" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "176" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I__99.21_252.00_ 92.17_NA" "9a91fde5ef1ebf41214386acb6f11444" "0" "0" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "133" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.21_112.00_ 72.27_NA" "38e4ef38315d826dd38299b5d77611c2" "0" "31" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "69" "0" "0" "0" "0" "0" "0" "0" "0"
