"OTU" "Feature_name" "179_108_Diphyes_384_193_S1_L001" "179_109_Apolemia_372_205_S2_L001" "179_110_Vogtia_360_217_S3_L001" "179_111_Forskalia_348_229_S4_L001" "179_112_Forskalia_336_241_S5_L001" "179_113_Chuniphyes_324_253_S6_L001" "179_114_Nanomia_312_265_S7_L001" "179_115_Nanomia_300_277_S8_L001" "179_116_Nanomia_383_194_S9_L001" "179_117_Sphaeronectes_371_206_S10_L001" "179_118_Muggiaea_359_218_S11_L001" "179_119_Muggiaea_347_230_S12_L001" "179_120_Muggiaea_335_242_S13_L001" "179_121_Muggiaea_323_254_S14_L001" "179_122_Nanomia_311_266_S15_L001" "179_123_Diphyes_299_278_S16_L001" "179_124_Nanomia_382_195_S17_L001" "179_125_Nanomia_370_207_S18_L001" "179_126_Nanomia_358_219_S19_L001" "179_127_Sphaeronectes_346_231_S20_L001" "179_128_Sphaeronectes_334_243_S21_L001" "179_129_Sphaeronectes_322_255_S22_L001" "179_130_Sphaeronectes_310_267_S23_L001" "179_131_Sphaeronectes_298_279_S24_L001" "179_132_Sphaeronectes_381_196_S25_L001" "179_133_Nanomia_369_208_S26_L001" "179_134_Sphaeronectes_357_220_S27_L001" "179_135_Sphaeronectes_345_232_S28_L001" "179_136_Sphaeronectes_333_244_S29_L001" "179_137_Diphyes_321_256_S30_L001" "179_138_Diphyes_309_268_S31_L001" "179_139_Nanomia_297_280_S32_L001" "179_140_Nanomia_380_197_S33_L001" "179_141_Nanomia_368_209_S34_L001" "179_142_Muggiaea_356_221_S35_L001" "179_143_Nanomia_344_233_S36_L001" "179_159_Physalia_332_245_S37_L001" "179_160_Physalia_320_257_S38_L001" "179_162_Physalia_308_269_S39_L001" "179_165_Physalia_296_281_S40_L001" "179_166_Physalia_379_198_S41_L001" "179_167_Physalia_367_210_S42_L001" "179_169_Physalia_355_222_S43_L001" "179_170_Physalia_343_234_S44_L001" "179_171_Physalia_331_246_S45_L001"
"Eukaryota_Cnidaria_Hydrozoa__100_162_73.34_NA_NA_NA" "0a98baae1b0aa9d367e1c7b0b4ebc4e9" "10833" "8884" "2894" "8153" "11620" "7219" "7677" "6100" "9953" "11625" "17463" "10473" "8814" "9349" "9887" "14366" "11344" "14196" "17955" "13244" "32332" "16437" "17569" "12745" "8162" "14826" "13929" "15138" "17228" "17481" "14077" "12285" "12170" "11999" "25657" "10570" "14373" "13137" "9448" "10884" "9895" "11156" "7228" "83" "4828"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_162.00_ 73.41_NA" "13dfe7e98a65695fd5f10b96b9556277" "10433" "7952" "2707" "7639" "9578" "6555" "7341" "4478" "9369" "10470" "10895" "9356" "7618" "7340" "9329" "13478" "8852" "12462" "15670" "11957" "28975" "14978" "16010" "12249" "4866" "13561" "12573" "13389" "17902" "15635" "13328" "11122" "10851" "10366" "27595" "12187" "13310" "13419" "8779" "11457" "8861" "10395" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_162.00_ 73.03_NA" "f988fbe22f0a370c57793f2ac9819999" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0" "0" "0" "6369" "100" "3924"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Chrysophyceae__99.4_166.00_ 73.07_NA" "b9cd1cc95b49e22ef539779b5bbefdb0" "0" "0" "53" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "137" "874" "713"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Chrysophyceae__99.4_166.00_ 73.07_NA" "acab4ac13a1e220c4309333f36ecddad" "0" "0" "105" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "179" "592" "547"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 88.00_ 72.78_NA" "b1e079efb749dcb9d097ae3b448be0d7" "0" "0" "0" "41" "0" "39" "33" "23" "0" "78" "54" "84" "33" "0" "27" "0" "0" "9" "0" "0" "1" "0" "0" "0" "0" "23" "9" "0" "0" "0" "0" "32" "15" "27" "118" "38" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.44_178.00_ 90.01" "18381a4cf02a15552971e5e128d85a83" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "650" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 88.00_ 72.78_NA" "efdd9af6fdb37f9096ab4ef98230227f" "0" "0" "0" "31" "0" "0" "17" "0" "6" "68" "58" "75" "0" "0" "0" "0" "0" "3" "36" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15" "0" "0" "90" "0" "29" "0" "0" "51" "0" "16" "13" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.44_178.00_ 90.01" "b4777ace6be951e75d4b28003874c09b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "436" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 88.00_ 72.45_NA" "93fc6ed8f361dfcf32215a80584666f5" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "30" "0" "0" "0" "0" "34" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "45" "82" "80" "74" "22" "21" "15" "0" "0"
