"OTU" "Feature_name" "152_227Halis_379_198_S1_L001" "152_228Nanom_367_210_S2_L001" "152_233bChun_355_222_S3_L001" "152_234bEren_343_234_S4_L001" "152_235bApol_331_246_S5_L001" "152_236Apole_319_258_S6_L001" "152_241Lensi_307_270_S7_L001" "152_242Forsk_295_282_S8_L001" "152_243Apole_378_199_S9_L001" "152_244Steph_366_211_S10_L001" "152_245Diphy_354_223_S11_L001" "152_246Diphy_342_235_S12_L001" "152_247Diphy_330_247_S13_L001" "152_248Diphy_318_259_S14_L001" "152_249Diphy_306_271_S15_L001" "152_250Vogti_294_283_S16_L001" "152_251Diphy_377_200_S17_L001" "152_252Agalm_365_212_S18_L001" "152_253Agalm_353_224_S19_L001" "152_254Chuni_341_236_S20_L001" "152_255Apole_329_248_S21_L001" "152_256Apole_317_260_S22_L001" "152_257Apole_305_272_S23_L001" "152_258Praya_293_284_S24_L001" "152_259Steph_376_201_S25_L001" "152_260Apole_364_213_S26_L001" "152_261Sphae_352_225_S27_L001" "152_262Forsk_340_237_S28_L001" "152_263Apole_328_249_S29_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_NA_100.00" "f241362d1d471ead4b49db9226889197" "19475" "36681" "20962" "25280" "20268" "29624" "18590" "30621" "32213" "28598" "18627" "0" "26673" "19315" "21707" "19979" "27285" "31878" "20315" "22635" "31122" "21432" "27850" "26005" "30804" "20025" "25598" "23235" "19959"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_NA_100.00" "774596d29eb7be92ba3cc0d76ac41241" "16023" "31259" "16967" "21566" "16346" "24274" "14118" "26340" "27465" "20718" "14459" "17495" "20896" "15864" "17485" "17203" "26360" "27677" "16644" "19498" "26644" "18052" "21374" "20723" "26802" "16379" "22295" "17776" "17140"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_NA_100.00" "cfa4b0f22466243056532689a18d229e" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "17564" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__92.11_152_86.33_NA_NA" "4950889f0495321950964096a99529dc" "0" "5" "0" "0" "4383" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27" "0" "0" "0" "0" "33" "0" "115" "0"
"Eukaryota__90_130_85.27_NA_NA" "d573b889002c1b08ae93a9a60edc449a" "0" "0" "0" "0" "3314" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__92.11_152_86.33_NA_NA" "cc0f6d16c7b885fb5bdb8170a611fb21" "0" "0" "0" "0" "3041" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "17" "0" "86" "0"
"Eukaryota_Ctenophora_Tentaculata__90.85_153.00_ 86.33" "40860602e49ca9babd7b64cca75c4557" "0" "0" "0" "0" "2631" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__83.46_127.00_ 80.73" "69caf142f5d1e94b730473ef973675f9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1252" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa_Cercomonadida__99.35_153.00_ 73.00" "9f2d9c6d0cd8501685a181158bc7360d" "0" "0" "0" "0" "1208" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa_Cercomonadida__99.35_153.00_ 73.00" "51a2e8efbdae4982fefe99c5eb1619ef" "0" "0" "0" "0" "1013" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__96.41_ 88.00_ 71.31" "5a52c74b12e2103fb1cb1f28f46395ec" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "719" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
