"OTU" "152_108_Diphyes_384_193_S1_L001" "152_109_Apolemia_372_205_S2_L001" "152_110_Vogtia_360_217_S3_L001" "152_111_Forskalia_348_229_S4_L001" "152_112_Forskalia_336_241_S5_L001" "152_113_Chuniphyes_324_253_S6_L001" "152_114_Nanomia_312_265_S7_L001" "152_115_Nanomia_300_277_S8_L001" "152_116_Nanomia_383_194_S9_L001" "152_117_Sphaeronectes_371_206_S10_L001" "152_118_Muggiaea_359_218_S11_L001" "152_119_Muggiaea_347_230_S12_L001" "152_120_Muggiaea_335_242_S13_L001" "152_121_Muggiaea_323_254_S14_L001" "152_122_Nanomia_311_266_S15_L001" "152_123_Diphyes_299_278_S16_L001" "152_124_Nanomia_382_195_S17_L001" "152_125_Nanomia_370_207_S18_L001" "152_126_Nanomia_358_219_S19_L001" "152_127_Sphaeronectes_346_231_S20_L001" "152_128_Sphaeronectes_334_243_S21_L001" "152_129_Sphaeronectes_322_255_S22_L001" "152_130_Sphaeronectes_310_267_S23_L001" "152_131_Sphaeronectes_298_279_S24_L001" "152_132_Sphaeronectes_381_196_S25_L001" "152_133_Nanomia_369_208_S26_L001" "152_134_Sphaeronectes_357_220_S27_L001" "152_135_Sphaeronectes_345_232_S28_L001" "152_136_Sphaeronectes_333_244_S29_L001" "152_137_Diphyes_321_256_S30_L001" "152_138_Diphyes_309_268_S31_L001" "152_139_Nanomia_297_280_S32_L001" "152_140_Nanomia_380_197_S33_L001" "152_141_Nanomia_368_209_S34_L001" "152_142_Muggiaea_356_221_S35_L001" "152_143_Nanomia_344_233_S36_L001" "152_159_Physalia_332_245_S37_L001" "152_160_Physalia_320_257_S38_L001" "152_162_Physalia_308_269_S39_L001" "152_165_Physalia_296_281_S40_L001" "152_166_Physalia_379_198_S41_L001" "152_167_Physalia_367_210_S42_L001" "152_169_Physalia_355_222_S43_L001" "152_170_Physalia_343_234_S44_L001" "152_171_Physalia_331_246_S45_L001"
"Eukaryota_environmental samples_uncultured eukaryote__96.41_88_89.24" "0" "0" "2982" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__88.81_143_82.52__" "0" "0" "2651" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Viridiplantae_Streptophyta_Embryophyta_Tracheophyta__88.6" "0" "0" "2189" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata__100" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1313" "603" "57"
"Eukaryota__87.69_130_83.45__" "0" "0" "1727" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata__100" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1033" "624" "50"
"Eukaryota__88.89_153_84.62__" "0" "0" "1292" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_154_91.67__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1023"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "698" "0"
"Eukaryota__100_153_91.67__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "538"
"Eukaryota__96.73_153_89.71__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "96" "0" "343"
"Eukaryota__98.04_153_88.05__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "130" "108"
"Eukaryota__96.73_153_89.71__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "83" "0" "148"
"Eukaryota__100_152_91.66__" "0" "0" "152" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "73"
"Eukaryota__100_153_91.67__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "147" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_133_91.46__" "8" "0" "0" "0" "0" "0" "0" "0" "0" "130" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.04_153_88.05__" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "120" "0"
"Eukaryota__98.69_153_90.79__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "126" "0"
"Eukaryota__98.69_153_90.79__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "100" "0"
"Eukaryota__99.24_131_91.06__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "93"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Hymenostomatida_" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "34" "11" "22"
"Eukaryota__100_132_91.45__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "65" "0"
"Eukaryota__94.44_126_87.30__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "28" "21"
"Eukaryota_environmental samples_uncultured eukaryote__100_154_91.68" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "9" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Fungi__100_153_91.67_" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "48" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.35_154_90.86" "0" "0" "44" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__94.44_126_87.30__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "17"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Hymenostomatida_" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "38" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.62_314_92.72" "0" "0" "0" "0" "0" "0" "0" "4" "0" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_235_92.41" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "4" "3" "0" "0" "5" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0"
"Eukaryota__99.35_153_90.51__" "0" "0" "27" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__94.78_115_88.25__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27" "0"
"Eukaryota__92.16_153_87.02__" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25"
"Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Bivalvia__100" "0" "0" "20" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Bivalvia__100" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Myxozoa_Myxosporea_Bivalvulida_Variisporina" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11"
"Eukaryota_environmental samples_uncultured eukaryote__100_129_91.42" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_199_92.14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_154_91.68" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"OTU" "152_108_Diphyes_384_193_S1_L001" "152_109_Apolemia_372_205_S2_L001" "152_110_Vogtia_360_217_S3_L001" "152_111_Forskalia_348_229_S4_L001" "152_112_Forskalia_336_241_S5_L001" "152_113_Chuniphyes_324_253_S6_L001" "152_114_Nanomia_312_265_S7_L001" "152_115_Nanomia_300_277_S8_L001" "152_116_Nanomia_383_194_S9_L001" "152_117_Sphaeronectes_371_206_S10_L001" "152_118_Muggiaea_359_218_S11_L001" "152_119_Muggiaea_347_230_S12_L001" "152_120_Muggiaea_335_242_S13_L001" "152_121_Muggiaea_323_254_S14_L001" "152_122_Nanomia_311_266_S15_L001" "152_123_Diphyes_299_278_S16_L001" "152_124_Nanomia_382_195_S17_L001" "152_125_Nanomia_370_207_S18_L001" "152_126_Nanomia_358_219_S19_L001" "152_127_Sphaeronectes_346_231_S20_L001" "152_128_Sphaeronectes_334_243_S21_L001" "152_129_Sphaeronectes_322_255_S22_L001" "152_130_Sphaeronectes_310_267_S23_L001" "152_131_Sphaeronectes_298_279_S24_L001" "152_132_Sphaeronectes_381_196_S25_L001" "152_133_Nanomia_369_208_S26_L001" "152_134_Sphaeronectes_357_220_S27_L001" "152_135_Sphaeronectes_345_232_S28_L001" "152_136_Sphaeronectes_333_244_S29_L001" "152_137_Diphyes_321_256_S30_L001" "152_138_Diphyes_309_268_S31_L001" "152_139_Nanomia_297_280_S32_L001" "152_140_Nanomia_380_197_S33_L001" "152_141_Nanomia_368_209_S34_L001" "152_142_Muggiaea_356_221_S35_L001" "152_143_Nanomia_344_233_S36_L001" "152_159_Physalia_332_245_S37_L001" "152_160_Physalia_320_257_S38_L001" "152_162_Physalia_308_269_S39_L001" "152_165_Physalia_296_281_S40_L001" "152_166_Physalia_379_198_S41_L001" "152_167_Physalia_367_210_S42_L001" "152_169_Physalia_355_222_S43_L001" "152_170_Physalia_343_234_S44_L001" "152_171_Physalia_331_246_S45_L001"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_" "11076" "9575" "4617" "15762" "16878" "11014" "12284" "7357" "12613" "14966" "16994" "19865" "10648" "7926" "0" "12624" "6951" "11757" "15696" "17593" "46062" "16545" "13827" "13995" "12402" "14343" "20404" "13961" "21189" "13943" "13447" "13237" "10599" "12097" "14792" "14039" "16785" "16574" "0" "15301" "9868" "11711" "15840" "528" "14576"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_" "13072" "12848" "5690" "18799" "20486" "14163" "13955" "10502" "0" "17340" "0" "0" "0" "0" "0" "0" "9326" "12823" "0" "21197" "55084" "18516" "18641" "16252" "17750" "16739" "23383" "0" "0" "0" "0" "14808" "14028" "16030" "18092" "0" "18581" "0" "16854" "21625" "14096" "13466" "0" "564" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_" "0" "0" "0" "0" "0" "0" "0" "0" "17850" "0" "20197" "21693" "0" "10197" "17215" "16271" "0" "0" "17801" "0" "0" "0" "0" "0" "0" "0" "0" "15417" "24144" "17299" "14973" "0" "0" "0" "0" "0" "0" "21056" "0" "0" "0" "0" "19131" "0" "17886"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13102" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16789" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14328" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12234" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_153_91.67__" "0" "0" "651" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "672" "6266" "2993"
"Eukaryota__100_153_91.67__" "0" "0" "537" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "576" "5321" "2878"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4068" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3877" "0"
"Eukaryota_Metazoa__91.5_153_86.19_" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3806" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa__91.5_153_86.19_" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3666" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__95.24_108_88.85__" "0" "0" "3497" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_" "0" "0" "2982" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cryptophyta_Pyrenomonadales__84.62_156_81.81" "0" "0" "2651" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
