"OTU" "Feature_name" "272_108_Diphyes_384_193_S1_L001" "272_109_Apolemia_372_205_S2_L001" "272_110_Vogtia_360_217_S3_L001" "272_111_Forskalia_348_229_S4_L001" "272_112_Forskalia_336_241_S5_L001" "272_113_Chuniphyes_324_253_S6_L001" "272_114_Nanomia_312_265_S7_L001" "272_115_Nanomia_300_277_S8_L001" "272_116_Nanomia_383_194_S9_L001" "272_117_Sphaeronectes_371_206_S10_L001" "272_118_Muggiaea_359_218_S11_L001" "272_119_Muggiaea_347_230_S12_L001" "272_120_Muggiaea_335_242_S13_L001" "272_121_Muggiaea_323_254_S14_L001" "272_122_Nanomia_311_266_S15_L001" "272_123_Diphyes_299_278_S16_L001" "272_124_Nanomia_382_195_S17_L001" "272_125_Nanomia_370_207_S18_L001" "272_126_Nanomia_358_219_S19_L001" "272_127_Sphaeronectes_346_231_S20_L001" "272_128_Sphaeronectes_334_243_S21_L001" "272_129_Sphaeronectes_322_255_S22_L001" "272_130_Sphaeronectes_310_267_S23_L001" "272_131_Sphaeronectes_298_279_S24_L001" "272_132_Sphaeronectes_381_196_S25_L001" "272_133_Nanomia_369_208_S26_L001" "272_134_Sphaeronectes_357_220_S27_L001" "272_135_Sphaeronectes_345_232_S28_L001" "272_136_Sphaeronectes_333_244_S29_L001" "272_137_Diphyes_321_256_S30_L001" "272_138_Diphyes_309_268_S31_L001" "272_139_Nanomia_297_280_S32_L001" "272_140_Nanomia_380_197_S33_L001" "272_141_Nanomia_368_209_S34_L001" "272_142_Muggiaea_356_221_S35_L001" "272_143_Nanomia_344_233_S36_L001" "272_159_Physalia_332_245_S37_L001" "272_160_Physalia_320_257_S38_L001" "272_162_Physalia_308_269_S39_L001" "272_165_Physalia_296_281_S40_L001" "272_166_Physalia_379_198_S41_L001" "272_167_Physalia_367_210_S42_L001" "272_169_Physalia_355_222_S43_L001" "272_170_Physalia_343_234_S44_L001" "272_171_Physalia_331_246_S45_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.2_251.00_ 92.21_NA_NA" "ae50393ad36e2362973c6170b163ed06" "15552" "11844" "2285" "18381" "91" "13248" "15349" "266" "15872" "12757" "12369" "16619" "10155" "11550" "730" "15237" "292" "16743" "12420" "8512" "15538" "10118" "9255" "7230" "256" "16278" "3683" "13702" "0" "19157" "16476" "14909" "15079" "15689" "11157" "8563" "15296" "232" "292" "10497" "13606" "15046" "2397" "0" "104"
"Eukaryota_Cnidaria_Hydrozoa__99.2_251_92.21_NA_NA_NA_NA" "f6907f51461f49dc33b92e64b122d641" "13136" "8863" "1859" "13588" "1592" "11002" "13128" "5369" "14006" "9847" "10231" "14569" "8020" "7327" "13156" "12671" "7617" "14564" "11222" "7413" "13393" "8571" "7934" "6735" "4134" "12826" "3574" "12530" "0" "16381" "13794" "12032" "12330" "11054" "10325" "6734" "13645" "5710" "6380" "7447" "9033" "10800" "2066" "22" "2885"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales_Chromulinaceae_Ochromonas_Ochromonas sp_NA_ 99.20_250.00_92.21" "38b5c4e94cb0556efd881a708e7c4c56" "0" "0" "242" "14" "0" "0" "24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "44" "59" "38" "28" "42" "0" "0" "35" "151" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "426" "1292" "2133"
"Eukaryota_Bilateria_Arthropoda_Hexanauplia_Calanoida__99.21_253.00_ 92.24_NA_NA" "3a071153427a6b5418c7b8fa3fddc7ea" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1052" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__91.78_146_87.57___NA_NA_NA_NA" "e7779e3c38a186c4a3ea58600160fe1f" "0" "0" "941" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chordata_Craniata_Actinopterygii_Actinopteri__99.21_252.00_ 92.23_NA_NA" "db760645fac8fbdf06256ac48d53519c" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "49" "72" "37" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "540" "80" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca__99.21_253.00_ 91.80_NA_NA" "9fd049d6afb7caa47772714d1f1ab766" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "507" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales_Chromulinaceae_Ochromonas_Ochromonas sp_NA_ 99.20_250.00_92.21" "5c4c51875f45829fd6515d8e41b3a980" "0" "0" "300" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "61" "76"
"Eukaryota__98.03_203_90.43___NA_NA_NA_NA" "27898b096ac30f5a606997ebcba66a87" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "120" "143" "161"
"Eukaryota_Cercozoa_Glissomonadida_Viridiraptoridae_Viridiraptor_Viridiraptor invadens_Viridiraptor invadens_NA_ 98.80_251.00_73.60" "1066c95ccf060d390a88f61e23a36df7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "117" "165"
