"OTU" "Feature_name" "272_264_Nano_093_100_S1_L001" "272_265_Nano_081_112_S2_L001" "272_266_Nano_069_124_S3_L001" "272_267_Nano_057_136_S4_L001" "272_268_Nano_045_148_S5_L001" "272_269_Nano_033_160_S6_L001" "272_270_Nano_021_172_S7_L001" "272_271_Nano_009_184_S8_L001" "272_272_Nano_092_101_S9_L001" "272_273_Nano_080_113_S10_L001" "272_274_Nano_068_125_S11_L001" "272_275_Nano_056_137_S12_L001" "272_276_Sulc_044_149_S13_L001"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.66_216.00_ 91.41_NA_NA" "983880c7f0f66e127124f2a26b452bec" "0" "32" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.37_185.00_ 90.20_NA_NA" "7fea8f9f43fb13aaa4fef33b901b5e10" "0" "0" "0" "32" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.24_173.00_ 90.76_NA_NA" "257643010514bd2e28830b10ac756885" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__99.17_215_ 91.40_NA_NA_NA" "228217fd34dc4d02297936018022e6f5" "0" "0" "0" "0" "15" "0" "0" "0" "0" "7" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__99.1_137_ 90.62_NA_NA_NA" "93fc0b6e547bed831b4d12f077e7a7da" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.32_197.00_ 90.47_NA_NA" "84bfd3fe4ce7c2ff82560612c94ac7b9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.21_172.00_ 90.73_NA_NA" "1d4ced20cc27ccc4839f5f2f7fe7fbd0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__99.1_137_ 90.62_NA_NA_NA" "071bd5fcae7086997720fd81a5d86e2f" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.07_249.00_ 91.80_NA_NA" "5d7a717a883dd788b1ebe8d82bca813c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.43_180.00_ 90.29_NA_NA" "65104a1a74a3972ec2101f704c5975b1" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.30_203.00_ 91.09_NA_NA" "4e1268b3395b83d9fea36303db95046d" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__ 91.88_271.00_ 70.05_NA" "ac006f62fba4f4a7dbaa6d51d9906b6e" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.43_180.00_ 90.29_NA_NA" "2e1bbd183b1d75e798c7900fe14ff22b" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.30_200.00_ 91.06_NA_NA" "85ebca1885ac26c6589ec9e709cd0394" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__91.24_251_ 86.79_NA_NA_NA" "23efef502f5702b5108c64125f16ae81" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__ 99.45_229.00_ 73.48_NA" "40bfc4f48fa7be29b77f8a6194584dfb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0"
