"OTU" "Feature_name" "261_108_Diphyes_384_193_S1_L001" "261_109_Apolemia_372_205_S2_L001" "261_110_Vogtia_360_217_S3_L001" "261_111_Forskalia_348_229_S4_L001" "261_112_Forskalia_336_241_S5_L001" "261_113_Chuniphyes_324_253_S6_L001" "261_114_Nanomia_312_265_S7_L001" "261_115_Nanomia_300_277_S8_L001" "261_116_Nanomia_383_194_S9_L001" "261_117_Sphaeronectes_371_206_S10_L001" "261_118_Muggiaea_359_218_S11_L001" "261_119_Muggiaea_347_230_S12_L001" "261_120_Muggiaea_335_242_S13_L001" "261_121_Muggiaea_323_254_S14_L001" "261_122_Nanomia_311_266_S15_L001" "261_123_Diphyes_299_278_S16_L001" "261_124_Nanomia_382_195_S17_L001" "261_125_Nanomia_370_207_S18_L001" "261_126_Nanomia_358_219_S19_L001" "261_127_Sphaeronectes_346_231_S20_L001" "261_128_Sphaeronectes_334_243_S21_L001" "261_129_Sphaeronectes_322_255_S22_L001" "261_130_Sphaeronectes_310_267_S23_L001" "261_131_Sphaeronectes_298_279_S24_L001" "261_132_Sphaeronectes_381_196_S25_L001" "261_133_Nanomia_369_208_S26_L001" "261_134_Sphaeronectes_357_220_S27_L001" "261_135_Sphaeronectes_345_232_S28_L001" "261_136_Sphaeronectes_333_244_S29_L001" "261_137_Diphyes_321_256_S30_L001" "261_138_Diphyes_309_268_S31_L001" "261_139_Nanomia_297_280_S32_L001" "261_140_Nanomia_380_197_S33_L001" "261_141_Nanomia_368_209_S34_L001" "261_142_Muggiaea_356_221_S35_L001" "261_143_Nanomia_344_233_S36_L001" "261_159_Physalia_332_245_S37_L001" "261_160_Physalia_320_257_S38_L001" "261_162_Physalia_308_269_S39_L001" "261_165_Physalia_296_281_S40_L001" "261_166_Physalia_379_198_S41_L001" "261_167_Physalia_367_210_S42_L001" "261_169_Physalia_355_222_S43_L001" "261_170_Physalia_343_234_S44_L001" "261_171_Physalia_331_246_S45_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.48_194_ 91.82_NA_NA_NA" "2800de29dfe4e3fa9a4d12c760d1bd0f" "1391" "535" "557" "2201" "2002" "1342" "1617" "1172" "1316" "1554" "1837" "2470" "1596" "1029" "1718" "695" "1042" "1566" "1615" "1669" "2822" "1286" "2335" "2324" "1995" "1863" "1882" "2059" "2526" "1644" "1627" "1549" "1294" "1634" "1681" "1335" "2070" "1510" "2355" "2543" "2433" "2252" "608" "0" "538"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__100_192_ 92.07_NA_NA_NA" "cf98a6067c19ff27084601a15ad2b335" "1299" "478" "502" "2070" "1762" "1265" "1549" "884" "1498" "1274" "1605" "2020" "1167" "927" "1144" "804" "990" "1485" "1520" "1601" "2734" "1299" "2033" "2008" "1638" "1911" "1959" "1978" "2911" "1542" "1620" "1385" "1163" "1472" "1652" "1585" "1877" "1509" "2489" "2585" "2224" "2114" "519" "13" "495"
"Eukaryota_Bilateria__97.73_44_89.76__NA_NA_NA_NA" "1bdf1429d020b3b640eea21c598497e7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3225" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Chrysophyceae__100_192.00_ 92.07_NA_NA" "07db0bcb0f1dab448477fce25c6a9fae" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "51" "1025" "1792"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Chrysophyceae__100_191.00_ 92.06_NA_NA" "a829e9db300d53ba5a856c4b8475862d" "0" "0" "141" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "367" "758" "1308"
"Eukaryota_Bilateria__97.73_44_89.76__NA_NA_NA_NA" "83a3377ec92574b6b786215ca4f9bc0c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2550" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_192.00_ 92.01_NA" "5e5c0bd70deaa1a3426fcdca7c7c1ece" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1220" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata__ 97.95_195.00_ 91.00_NA" "18f9d9400af60125986792ee0837d276" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "795" "121" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata__ 97.94_194.00_ 90.99_NA" "033710110ef4efd61bcbed4daf0657ce" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "738" "117" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_191.00_ 91.95_NA" "409e4ff145cac03860dad730deb2c9d6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "854" "0"
